PlanId, PlanIdFriendlyName
41781fb2-bc02-4b7c-bd55-b576c07bb09d,Azure Active Directory Premium P1
932ad362-64a8-4783-9106-97849a1a30b9,Cloud App Security Discovery
c87f142c-d1e9-4363-8630-aaea9c4d9ae5,To-Do (Plan 2)
8c7d2df8-86f0-4902-b2ed-a0458298f3b3,Microsoft StaffHub
efb87545-963c-4e0d-99df-69c6916d9eb0,Exchange Online (Plan 2)
76846ad7-7776-4c40-a281-a386362dd1b9,Power Automate For Office 365
2789c901-c14e-48ab-a76a-be334d9d793a,Microsoft Forms (Plan E3)
c1ec4a95-1f05-45b3-a911-aa3fa01094f5,Microsoft Intune
0feaeb32-d00e-4d66-bd5a-43b5b83db82c,Skype for Business Online (Plan 2)
8a256a2b-b617-496d-b51b-e76466e88db0,Microsoft Azure Multi-Factor Authentication
43de0ff5-c92c-492b-9116-175376d08c38,Microsoft 365 Apps for enterprise
c68f8d98-5534-41c8-bf36-22fa496fa792,Power Apps for Office 365
b737dad2-2f6c-4c65-90e3-ca563267e8b9,Microsoft Planner
bea4c11e-220a-4e6d-8eb8-8ea15d019f90,Azure Rights Management
6c57d4b6-3b23-47a5-9bc9-69f17b4947b3,Azure Information Protection Premium P1
5dbe027f-2339-4123-9542-606e4d348a72,SharePoint (Plan 2)
e95bec33-7c88-4a70-8e19-b10bd9d0c014,Office for the web
9e700747-8b1d-45e5-ab8d-ef187ceec156,Microsoft Stream For O365 E3 SKU
a23b959c-7ce8-4e57-9140-b90eb88a9e97,Sway
57ff2da0-773e-42df-b2af-ffb7a2317929,Microsoft Teams
21b439ba-a0ca-424f-a6cc-52f954a5b111,Windows 10 Enterprise
7547a3fe-08ee-4ccb-b430-5077c5041653,Yammer Enterprise
874fc546-6efe-4d22-90b8-5c4e7aa59f4b,PowerApps for Dynamics 365
7e6d7d78-73de-46ba-83b1-6d25117334ba,Flow for Dynamics 365
1259157c-8581-4875-bca7-2ffb18c51bda,Project Online Essentials
31b4e2fc-4cd6-4e7d-9c1b-41407303bd66,Project for Office (Plan E3)
199a5c09-e0ca-4e37-8f7c-b05d533e1ea2,Microsoft Bookings
33c4f319-9bdd-48d6-9c4d-410b750a4a5a,Insights by MyAnalytics
5136a095-5cf0-4aff-bec3-e84448b38ea5,Information Protection for Office 365 - Standard
94a54592-cd8b-425e-87c6-97868b000b91,Whiteboard (Plan 2)
aebd3021-9f8f-4bf8-bbe3-0ed2f4f047a1,Microsoft Kaizala Pro
4ff01e01-1ba7-4d71-8cf8-ce96c3bbcf14,Common Data Service
643d201a-9884-45be-962a-06ba97062e5e,Dynamics 365 for Talent - Attract Experience Team Member
c0454a3d-32b5-4740-b090-78c32f48f0ad,Dynamics 365 for Retail Team members
d5156635-0704-4f66-8803-93258f8b2678,Dynamics 365 for Talent Team members
f2f49eef-4b3f-4853-809a-a055c6103fe0,Dynamics 365 for Talent - Onboard Experience
f5aa7b45-8a36-4cd1-bc37-5d06dea98645,Dynamics 365 for Operations Team members
5e62787c-c316-451f-b873-1d05acd4d12c,To-Do (Plan 1)
17ab22cd-a0b3-4536-910a-cb6eb12696c0,Common Data Service
50e68c76-46c6-4674-81f9-75456511b170,Flow Free
0683001c-0492-4d59-9515-d9a6426b5813,Power Virtual Agents for Office 365
95b76021-6a53-4741-ab8b-1d1f3d66a95a,Common Data Service for Teams
041fe683-03e4-45b6-b1af-c0cdc516daee,Power Virtual Agents for Office 365
54fc630f-5a40-48ee-8965-af0503c1386e,Microsoft Kaizala Pro
a55dfd10-0864-46d9-a3cd-da5991a3e0e2,Project for Office (Plan E1)
b8afc642-032e-4de5-8c0a-507a7bba7e5d,Whiteboard (Plan 1)
bed136c6-b799-4462-824d-fc045d3a9d25,Common Data Service for Teams
40b010bb-0b69-4654-ac5e-ba161433f4b4,Common Data Service
